userId,movieId,rating
1,1,4.0
1,3,4.0
1,6,4.0
1,47,5.0
1,50,5.0
2,1,5.0
2,2,4.0
2,8,3.0
2,13,4.0
2,44,3.0
3,1,4.0
3,5,3.0
3,7,4.0
3,11,4.0
3,17,5.0
4,6,5.0
4,10,4.0
4,20,4.0
4,23,3.0
4,47,5.0
5,3,4.0
5,7,5.0
5,11,4.0
5,17,4.0
5,25,5.0
6,1,3.0
6,2,4.0
6,13,5.0
6,34,4.0
6,48,4.0
7,6,4.0
7,9,3.0
7,10,5.0
7,15,3.0
7,44,4.0
8,1,5.0
8,2,5.0
8,8,4.0
8,29,4.0
8,34,5.0
9,14,4.0
9,16,5.0
9,30,4.0
9,36,5.0
9,40,3.0
10,3,5.0
10,7,4.0
10,17,5.0
10,25,4.0
10,28,5.0
11,6,5.0
11,10,5.0
11,23,4.0
11,32,5.0
11,50,5.0
12,1,4.0
12,13,4.0
12,34,5.0
12,38,3.0
12,48,5.0
13,16,4.0
13,22,4.0
13,30,3.0
13,47,5.0
13,50,4.0
14,4,4.0
14,11,5.0
14,17,4.0
14,25,5.0
14,35,4.0
15,6,4.0
15,9,4.0
15,20,3.0
15,23,4.0
15,44,5.0
16,1,5.0
16,2,4.0
16,29,5.0
16,34,4.0
16,48,3.0
17,3,3.0
17,5,4.0
17,7,5.0
17,18,3.0
17,19,4.0
18,10,4.0
18,15,3.0
18,32,5.0
18,44,4.0
18,47,5.0
19,14,5.0
19,26,4.0
19,31,3.0
19,36,5.0
19,43,4.0
20,1,4.0
20,8,5.0
20,13,4.0
20,33,3.0
20,34,5.0
